timestamp,batt_volt,batt_level,height
1571825100,3.7,85,151
1571825400,3.7,85,151
1571825700,3.7,85,151
1571826000,3.7,85,151
1571826300,3.7,85,151
1571826600,3.7,85,151
1571826900,3.7,85,151
1571827200,3.7,85,151
1571827500,3.7,85,151
1571827800,3.7,85,151
1571828100,3.7,85,151
1571828400,3.7,85,151
1571828700,3.7,85,151
1571829000,3.7,85,151
1571829300,3.7,85,151
1571829600,3.7,85,151
1571829900,3.7,85,151
1571830200,3.7,85,151
1571830500,3.7,85,151
1571830800,3.7,85,151
1571831100,3.7,85,151
1571831400,3.7,85,151
1571831700,3.7,85,151
1571832000,3.7,85,151
1571832300,3.7,85,151
1571832600,3.7,85,151
1571832900,3.7,85,151
1571833200,3.7,85,151
1571833500,3.7,85,151
1571833800,3.7,85,151
1571834100,3.7,85,151
1571834400,3.7,85,151
1571834700,3.7,85,151
1571835000,3.7,85,151
1571835300,3.7,85,151
1571835600,3.7,85,151
1571835900,3.7,85,151
1571836200,3.7,85,151
1571836500,3.7,85,151
1571836800,3.7,85,151
1571837100,3.7,85,151
1571837400,3.7,85,151
1571837700,3.7,85,151
1571838000,3.7,85,151
1571838300,3.7,85,151
1571838600,3.7,85,151
1571838900,3.7,85,151
1571839200,3.7,85,151
1571839500,3.7,85,151
1571839800,3.7,85,151
1571840100,3.7,85,151
1571840400,3.7,85,151
1571840700,3.7,85,151
1571841000,3.7,85,151
1571841300,3.7,85,151
1571841600,3.7,85,151
1571841900,3.7,85,151
1571842200,3.7,85,151
1571842500,3.7,85,151
1571842800,3.7,85,151
1571843100,3.7,85,151
1571843400,3.7,85,151
1571843700,3.7,85,151
1571844000,3.7,85,151
1571844300,3.7,85,151
1571844600,3.7,85,151
1571844900,3.7,85,151
1571845200,3.7,85,151
1571845500,3.7,85,151
1571845800,3.7,85,151
1571846100,3.7,85,151
1571846400,3.7,85,151
1571846700,3.7,85,151
1571847000,3.7,85,151
1571847300,3.7,85,151
1571847600,3.7,85,151
1571847900,3.7,85,151
1571848200,3.7,85,151
1571848500,3.7,85,151
1571848800,3.7,85,151
1571849100,3.7,85,151
1571849400,3.7,85,151
1571849700,3.7,85,151
1571850000,3.7,85,151
1571850300,3.7,85,151
1571850600,3.7,85,151
1571850900,3.7,85,151
1571851200,3.7,85,151
1571851500,3.7,85,151
1571851800,3.7,85,151
1571852100,3.7,85,151
1571852400,3.7,85,151
1571852700,3.7,85,151
1571853000,3.7,85,151
1571853300,3.7,85,151
1571853600,3.7,85,151
1571853900,3.7,85,151
1571854200,3.7,85,151
1571854500,3.7,85,151
1571854800,3.7,85,151
1571855100,3.7,85,151
1571855400,3.7,85,151
1571855700,3.7,85,151
1571856000,3.7,85,151
1571856300,3.7,85,151
1571856600,3.7,85,151
1571856900,3.7,85,151
1571857200,3.7,85,151
1571857500,3.7,85,151
1571857800,3.7,85,151
1571858100,3.7,85,151
1571858400,3.7,85,151
1571858700,3.7,85,151
1571859000,3.7,85,151
1571859300,3.7,85,151
1571859600,3.7,85,151
1571859900,3.7,85,151
1571860200,3.7,85,151
1571860500,3.7,85,151
1571860800,3.7,85,151
1571861100,3.7,85,151
1571861400,3.7,85,151
1571861700,3.7,85,151
1571862000,3.7,85,151
1571862300,3.7,85,151
1571862600,3.7,85,151
1571862900,3.7,85,151
1571863200,3.7,85,151
1571863500,3.7,85,151
1571863800,3.7,85,151
1571864100,3.7,85,151
1571864400,3.7,85,151
1571864700,3.7,85,151
1571865000,3.7,85,151
1571865300,3.7,85,151
1571865600,3.7,85,151
1571865900,3.7,85,151
1571866200,3.7,85,151
1571866500,3.7,85,151
1571866800,3.7,85,151
1571867100,3.7,85,151
1571867400,3.7,85,151
1571867700,3.7,85,151
1571868000,3.7,85,151
1571868300,3.7,85,151
1571868600,3.7,85,151
1571868900,3.7,85,151
1571869200,3.7,85,151
1571869500,3.7,85,151
1571869800,3.7,85,151
1571870100,3.7,85,151
1571870400,3.7,85,151
1571870700,3.7,85,151
1571871000,3.7,85,151
1571871300,3.7,85,151
1571871600,3.7,85,151
1571871900,3.7,85,151
1571872200,3.7,85,151
1571872500,3.7,85,151
1571872800,3.7,85,151
1571873100,3.7,85,151
1571873400,3.7,85,151
1571873700,3.7,85,151
1571874000,3.7,85,151
1571874300,3.7,85,151
1571874600,3.7,85,151
1571874900,3.7,85,151
1571875200,3.7,85,151
1571875500,3.7,85,151
1571875800,3.7,85,151
1571876100,3.7,85,151
1571876400,3.7,85,151
1571876700,3.7,85,151
1571877000,3.7,85,151
1571877300,3.7,85,151
1571877600,3.7,85,151
1571877900,3.7,85,151
1571878200,3.7,85,151
1571878500,3.7,85,151
1571878800,3.7,85,151
1571879100,3.7,85,151
1571879400,3.7,85,151
1571879700,3.7,85,151
1571880000,3.7,85,151
1571880300,3.7,85,151
1571880600,3.7,85,151
1571880900,3.7,85,151
1571881200,3.7,85,151
1571881500,3.7,85,151
1571881800,3.7,85,151
1571882100,3.7,85,151
1571882400,3.7,85,151
1571882700,3.7,85,151
1571883000,3.7,85,151
1571883300,3.7,85,151
1571883600,3.7,85,151
1571883900,3.7,85,151
1571884200,3.7,85,151
1571884500,3.7,85,151
1571884800,3.7,85,151
1571885100,3.7,85,151
1571885400,3.7,85,151
1571885700,3.7,85,151
1571886000,3.7,85,151
1571886300,3.7,85,151
1571886600,3.7,85,151
1571886900,3.7,85,151
1571887200,3.7,85,151
1571887500,3.7,85,151
1571887800,3.7,85,151
1571888100,3.7,85,151
1571888400,3.7,85,151
1571888700,3.7,85,151
1571889000,3.7,85,151
1571889300,3.7,85,151
1571889600,3.7,85,151
1571889900,3.7,85,151
1571890200,3.7,85,151
1571890500,3.7,85,151
1571890800,3.7,85,151
1571891100,3.7,85,151
1571891400,3.7,85,151
1571891700,3.7,85,151
1571892000,3.7,85,151
1571892300,3.7,85,151
1571892600,3.7,85,151
1571892900,3.7,85,151
1571893200,3.7,85,151
1571893500,3.7,85,151
1571893800,3.7,85,151
1571894100,3.7,85,151
1571894400,3.7,85,151
1571894700,3.7,85,151
1571895000,3.7,85,151
1571895300,3.7,85,151
1571895600,3.7,85,151
1571895900,3.7,85,151
1571896200,3.7,85,151
1571896500,3.7,85,151
1571896800,3.7,85,151
1571897100,3.7,85,151
1571897400,3.7,85,151
1571897700,3.7,85,151
1571898000,3.7,85,151
1571898300,3.7,85,151
1571898600,3.7,85,151
1571898900,3.7,85,151
1571899200,3.7,85,151
1571899500,3.7,85,151
1571899800,3.7,85,151
1571900100,3.7,85,151
1571900400,3.7,85,151
1571900700,3.7,85,151
1571901000,3.7,85,151
1571901300,3.7,85,151
1571901600,3.7,85,151
1571901900,3.7,85,151
1571902200,3.7,85,151
1571902500,3.7,85,151
1571902800,3.7,85,151
1571903100,3.7,85,151
1571903400,3.7,85,151
1571903700,3.7,85,151
1571904000,3.7,85,151
1571904300,3.7,85,151
1571904600,3.7,85,151
1571904900,3.7,85,151
1571905200,3.7,85,151
1571905500,3.7,85,151
1571905800,3.7,85,151
1571906100,3.7,85,151
1571906400,3.7,85,151
1571906700,3.7,85,151
1571907000,3.7,85,151
1571907300,3.7,85,151
1571907600,3.7,85,151
1571907900,3.7,85,151
1571908200,3.7,85,151
1571908500,3.7,85,151
1571908800,3.7,85,151
1571909100,3.7,85,151
1571909400,3.7,85,151
1571909700,3.7,85,151
1571910000,3.7,85,151
1571910300,3.7,85,151
1571910600,3.7,85,151
1571910900,3.7,85,151
1571911200,3.7,85,151
1571911500,3.7,85,151
1571911800,3.7,85,151
1571912100,3.7,85,151
1571912400,3.7,85,151
1571912700,3.7,85,151
1571913000,3.7,85,151
1571913300,3.7,85,151
1571913600,3.7,85,151
1571913900,3.7,85,151
1571914200,3.7,85,151
1571914500,3.7,85,151
1571914800,3.7,85,151
1571915100,3.7,85,151
1571915400,3.7,85,151
1571915700,3.7,85,151
1571916000,3.7,85,151
1571916300,3.7,85,151
1571916600,3.7,85,151
1571916900,3.7,85,151
