SURVEYID,DEVICEID,TIMESTAMP,DATE,TIME,TEMP,RH,FLTP,WLEV,BVOLT,BLEV
gb-sasbjep,gb-sasbjep-one,1703279618,12/22/23,21:13,29.01,32.18,0,925,4.21,100.00
gb-sasbjep,gb-sasbjep-one,1703280704,12/22/23,21:31,29.85,255.00,0,924,3.93,93.45
gb-sasbjep,gb-sasbjep-one,1703280970,12/22/23,21:36,29.98,255.00,1,925,3.88,92.28
gb-sasbjep,gb-sasbjep-one,1703281870,12/22/23,21:51,29.06,31.99,1,924,4.18,99.41
gb-sasbjep,gb-sasbjep-one,1703282947,12/22/23,22:09,255.00,255.00,4,923,4.21,100.00
gb-sasbjep,gb-sasbjep-one,1703283952,12/22/23,22:25,29.60,31.66,6,923,3.89,92.47
gb-sasbjep,gb-sasbjep-one,1703284484,12/22/23,22:34,29.67,31.64,0,923,3.92,92.96
gb-sasbjep,gb-sasbjep-one,1703284892,12/22/23,22:41,30.01,255.00,0,923,3.88,92.18
gb-sasbjep,gb-sasbjep-one,1703285147,12/22/23,22:45,29.86,255.00,0,923,3.88,92.18
gb-sasbjep,gb-sasbjep-one,1703285290,12/22/23,22:48,255.00,255.00,0,923,3.88,92.08
gb-sasbjep,gb-sasbjep-one,1703285468,12/22/23,22:51,29.96,31.28,0,923,3.90,92.77
gb-sasbjep,gb-sasbjep-one,1703285829,12/22/23,22:57,255.00,255.00,0,927,3.87,91.98
gb-sasbjep,gb-sasbjep-one,1703285983,12/22/23,22:59,30.09,255.00,0,923,3.87,92.18
gb-sasbjep,gb-sasbjep-one,1703286123,12/22/23,23:02,255.00,31.55,0,923,3.88,92.08
gb-sasbjep,gb-sasbjep-one,1703286206,12/22/23,23:03,255.00,255.00,0,923,3.87,92.08
gb-sasbjep,gb-sasbjep-one,1703286431,12/22/23,23:07,255.00,255.00,7,-1,4.21,100.00
gb-sasbjep,gb-sasbjep-one,1703286545,12/22/23,23:09,255.00,255.00,7,-1,4.21,100.00
gb-sasbjep,gb-sasbjep-one,1703287414,12/22/23,23:23,255.00,255.00,7,922,4.21,100.00
gb-sasbjep,gb-sasbjep-one,1703287527,12/22/23,23:25,30.49,255.00,7,910,4.21,100.00
gb-sasbjep,gb-sasbjep-one,1703287634,12/22/23,23:27,255.00,255.00,7,923,4.21,100.00
gb-sasbjep,gb-sasbjep-one,1703288234,12/22/23,23:37,30.44,255.00,7,923,4.21,100.00
gb-sasbjep,gb-sasbjep-one,1703291243,12/23/23,00:27,255.00,255.00,0,923,4.01,95.31
gb-sasbjep,gb-sasbjep-one,1703291796,12/23/23,00:36,255.00,255.00,0,924,4.00,95.01
gb-sasbjep,gb-sasbjep-one,1703291960,12/23/23,00:39,29.43,255.00,0,924,3.99,94.92
gb-sasbjep,gb-sasbjep-one,1703365632,12/23/23,21:07,26.81,255.00,0,1437,4.06,96.38
gb-sasbjep,gb-sasbjep-one,1703366233,12/23/23,21:17,24.84,255.00,0,1434,4.05,96.19
gb-sasbjep,gb-sasbjep-one,1703367134,12/23/23,21:32,23.53,255.00,9,1432,4.04,95.99
gb-sasbjep,gb-sasbjep-one,1703367734,12/23/23,21:42,23.05,255.00,9,1432,4.04,95.99
gb-sasbjep,gb-sasbjep-one,1703368334,12/23/23,21:52,22.53,255.00,9,1431,4.03,95.89
gb-sasbjep,gb-sasbjep-one,1703368934,12/23/23,22:02,22.17,255.00,9,1430,4.03,95.89
gb-sasbjep,gb-sasbjep-one,1703369534,12/23/23,22:12,255.00,37.17,9,1434,4.03,95.80
gb-sasbjep,gb-sasbjep-one,1703370134,12/23/23,22:22,21.67,255.00,9,1436,4.03,95.80
gb-sasbjep,gb-sasbjep-one,1703370630,12/23/23,22:30,255.00,37.26,9,1435,4.03,95.80
gb-sasbjep,gb-sasbjep-one,1703371230,12/23/23,22:40,21.19,255.00,9,1438,4.03,95.70
gb-sasbjep,gb-sasbjep-one,1703371830,12/23/23,22:50,255.00,37.02,9,1433,4.03,95.70
gb-sasbjep,gb-sasbjep-one,1703372430,12/23/23,23:00,21.04,255.00,9,1435,4.03,95.70
gb-sasbjep,gb-sasbjep-one,1703373030,12/23/23,23:10,20.88,255.00,9,1445,4.02,95.60
gb-sasbjep,gb-sasbjep-one,1703373630,12/23/23,23:20,255.00,255.00,9,1434,4.02,95.60
gb-sasbjep,gb-sasbjep-one,1703374230,12/23/23,23:30,20.59,255.00,9,1432,4.02,95.50
gb-sasbjep,gb-sasbjep-one,1703374830,12/23/23,23:40,255.00,255.00,9,1427,4.02,95.50
gb-sasbjep,gb-sasbjep-one,1703375430,12/23/23,23:50,255.00,36.90,9,1431,4.02,95.41
gb-sasbjep,gb-sasbjep-one,1703376030,12/24/23,00:00,20.17,255.00,9,1428,4.01,95.41
gb-sasbjep,gb-sasbjep-one,1703376630,12/24/23,00:10,255.00,36.95,9,1453,4.01,95.41
gb-sasbjep,gb-sasbjep-one,1703377230,12/24/23,00:20,19.92,255.00,9,1445,4.01,95.41
gb-sasbjep,gb-sasbjep-one,1703377830,12/24/23,00:30,255.00,255.00,9,1436,4.01,95.31
gb-sasbjep,gb-sasbjep-one,1703378430,12/24/23,00:40,19.71,255.00,9,1442,4.01,95.31
gb-sasbjep,gb-sasbjep-one,1703379030,12/24/23,00:50,19.59,255.00,9,1440,4.01,95.21
gb-sasbjep,gb-sasbjep-one,1703379630,12/24/23,01:00,19.47,255.00,9,1431,4.01,95.21
gb-sasbjep,gb-sasbjep-one,1703380229,12/24/23,01:10,255.00,255.00,9,1437,4.01,95.21
gb-sasbjep,gb-sasbjep-one,1703380829,12/24/23,01:20,255.00,37.19,9,1428,4.01,95.21
gb-sasbjep,gb-sasbjep-one,1703381429,12/24/23,01:30,19.18,255.00,9,1425,4.01,95.21
gb-sasbjep,gb-sasbjep-one,1703382029,12/24/23,01:40,19.04,255.00,9,1447,4.00,95.21
gb-sasbjep,gb-sasbjep-one,1703382629,12/24/23,01:50,18.97,255.00,9,1435,4.00,95.11
gb-sasbjep,gb-sasbjep-one,1703383229,12/24/23,02:00,18.86,255.00,9,1430,4.00,95.11
gb-sasbjep,gb-sasbjep-one,1703383829,12/24/23,02:10,18.76,255.00,9,1431,4.00,95.11
gb-sasbjep,gb-sasbjep-one,1703384429,12/24/23,02:20,18.70,255.00,9,1432,4.00,95.01
gb-sasbjep,gb-sasbjep-one,1703385103,12/24/23,02:31,18.56,255.00,10,1435,4.00,95.01
gb-sasbjep,gb-sasbjep-one,1703385703,12/24/23,02:41,18.48,255.00,10,1436,4.00,94.92
gb-sasbjep,gb-sasbjep-one,1703386303,12/24/23,02:51,255.00,255.00,10,1435,3.99,95.01
gb-sasbjep,gb-sasbjep-one,1703386903,12/24/23,03:01,255.00,255.00,10,1425,3.99,94.92
gb-sasbjep,gb-sasbjep-one,1703387503,12/24/23,03:11,255.00,255.00,10,1425,3.95,93.84
gb-sasbjep,gb-sasbjep-one,1703388103,12/24/23,03:21,255.00,255.00,10,1447,3.99,94.92
gb-sasbjep,gb-sasbjep-one,1703388703,12/24/23,03:31,255.00,255.00,10,1438,3.99,94.82
gb-sasbjep,gb-sasbjep-one,1703389303,12/24/23,03:41,18.13,255.00,10,1450,3.99,94.82
gb-sasbjep,gb-sasbjep-one,1703389902,12/24/23,03:51,18.06,255.00,10,1434,3.99,94.82
gb-sasbjep,gb-sasbjep-one,1703390502,12/24/23,04:01,255.00,255.00,10,1428,3.99,94.82
gb-sasbjep,gb-sasbjep-one,1703391102,12/24/23,04:11,17.94,255.00,10,1429,3.99,94.82
gb-sasbjep,gb-sasbjep-one,1703391702,12/24/23,04:21,255.00,38.29,10,1429,3.99,94.82
gb-sasbjep,gb-sasbjep-one,1703392302,12/24/23,04:31,17.80,255.00,10,1429,3.99,94.82
gb-sasbjep,gb-sasbjep-one,1703392902,12/24/23,04:41,17.77,255.00,10,1435,3.99,94.72
gb-sasbjep,gb-sasbjep-one,1703393502,12/24/23,04:51,17.70,255.00,10,1432,3.99,94.72
gb-sasbjep,gb-sasbjep-one,1703394102,12/24/23,05:01,255.00,255.00,10,1427,3.99,94.72
gb-sasbjep,gb-sasbjep-one,1703394702,12/24/23,05:11,17.58,255.00,10,1426,3.99,94.72
gb-sasbjep,gb-sasbjep-one,1703395302,12/24/23,05:21,255.00,255.00,10,1430,3.99,94.72
gb-sasbjep,gb-sasbjep-one,1703395902,12/24/23,05:31,17.50,255.00,10,1428,3.99,94.72
gb-sasbjep,gb-sasbjep-one,1703396502,12/24/23,05:41,17.46,255.00,10,1425,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703397102,12/24/23,05:51,17.41,255.00,10,1425,3.98,94.72
gb-sasbjep,gb-sasbjep-one,1703397702,12/24/23,06:01,17.35,255.00,10,1424,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703398302,12/24/23,06:11,255.00,255.00,10,1428,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703398902,12/24/23,06:21,255.00,255.00,10,1434,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703399502,12/24/23,06:31,255.00,39.66,10,1425,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703400102,12/24/23,06:41,17.27,255.00,10,1433,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703400702,12/24/23,06:51,17.23,255.00,10,1433,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703401302,12/24/23,07:01,255.00,255.00,10,1430,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703401902,12/24/23,07:11,17.18,255.00,10,1425,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703402502,12/24/23,07:21,17.11,255.00,10,1429,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703403102,12/24/23,07:31,17.09,255.00,10,1425,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703403702,12/24/23,07:41,17.07,255.00,10,1426,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703404301,12/24/23,07:51,17.05,255.00,10,1424,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703404901,12/24/23,08:01,17.05,255.00,10,1425,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703405501,12/24/23,08:11,255.00,255.00,10,1429,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703406101,12/24/23,08:21,255.00,255.00,10,1427,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703406701,12/24/23,08:31,255.00,255.00,10,1438,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703407301,12/24/23,08:41,255.00,255.00,10,1424,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703407901,12/24/23,08:51,16.82,255.00,10,1432,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703408502,12/24/23,09:01,255.00,255.00,10,1429,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703409102,12/24/23,09:11,16.74,255.00,10,1445,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703409702,12/24/23,09:21,16.70,255.00,10,1429,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703410302,12/24/23,09:31,16.69,255.00,10,1424,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703410902,12/24/23,09:41,16.69,255.00,10,1429,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703411502,12/24/23,09:51,255.00,255.00,10,1438,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703412102,12/24/23,10:01,16.70,255.00,10,1429,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703412701,12/24/23,10:11,16.69,255.00,10,1425,3.98,94.62
gb-sasbjep,gb-sasbjep-one,1703413301,12/24/23,10:21,255.00,255.00,10,1426,3.98,94.43
gb-sasbjep,gb-sasbjep-one,1703413902,12/24/23,10:31,255.00,255.00,10,1428,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703414502,12/24/23,10:41,255.00,255.00,10,1425,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703415102,12/24/23,10:51,255.00,255.00,10,1424,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703415702,12/24/23,11:01,16.64,255.00,10,1424,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703416301,12/24/23,11:11,16.63,255.00,10,1423,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703416901,12/24/23,11:21,16.63,255.00,10,1423,3.98,94.53
gb-sasbjep,gb-sasbjep-one,1703417501,12/24/23,11:31,16.62,255.00,10,1427,3.98,94.53
