DO,EC,PH,RTD,LAT,LON,BATT-VOLT,BATT-LEVEL,TIMESTAMP
8.771001,876.060974,7.014,28.299,29.671041,-82.345581,3.74375,66.578125,1564689409
8.771001,901.031006,7.021,26.848999,29.671291,-82.346062,3.73625,66.867188,1564689939
7.481,902.440979,6.946,26.767,29.670954,-82.346542,3.73875,67.589844,1564690268
8.911,902.781006,6.911,26.769999,29.670851,-82.346695,3.74125,68.3125,1564690606
8.961,902.531006,6.854,26.795,29.670483,-82.347038,3.73125,67.734375,1564690905
9.011001,902.670959,6.83,26.792999,29.669899,-82.346901,3.73625,68.3125,1564691252
8.661,901.700989,6.835,26.872999,29.669678,-82.346695,3.73125,67.878906,1564691455
9.161,774.770996,6.844,26.757,29.669394,-82.346802,3.72125,68.476563,1564691794
9.571,1022.890991,6.87,26.414,29.669113,-82.346962,3.73,66,1564692014
9.171,910.320984,6.906,26.496,29.669125,-82.346863,3.72875,65.855469,1564692237
8.801001,904.620972,6.856,26.869999,29.668892,-82.347687,3.72625,67.300781,1564692650
8.921,904.000977,6.817,26.82,29.668858,-82.347672,3.94125,67.15625,1564692950
9.281,910.841003,6.831,26.847,29.668335,-82.347694,3.72375,66.144531,1564693121
